"snapshot_id","entity_id","vehicle_id","vehicle_label","trip_id","route_id","current_stop_id","previous_stop_id","next_stop_id","next_stop_sequence","status","latitude","longitude"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77740","77740","R4-77740","5123L77740R4","51T0020R4","78709","78710","78704",4,"IN_TRANSIT_TO","41.55524","2.1112726"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77738","77738","R4-77738-PLATF.(2)","5123L77738R4","51T0020R4","78805","78804","71801",16,"IN_TRANSIT_TO","41.38629","2.1654027"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77736","77736","R4-77736","5123L77736R4","51T0020R4","72301","72302","72300",21,"IN_TRANSIT_TO","41.390053","2.0409188"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77638","77638","R4-77638","5123L77638R4","51T0019R4","72209",NULL,"72210",2,"STOPPED_AT","41.47872","1.9255537"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77636","77636","R4-77636","5123L77636R4","51T0019R4","72301","72300","72302",6,"IN_TRANSIT_TO","41.375816","2.0546436"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77634","77634","R4-77634-PLATF.(3)","5123L77634R4","51T0019R4","78800","78801","78708",16,"INCOMING_AT","41.470253","2.1794534"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77632","77632","R4-77632-PLATF.(1)","5123L77632R4","51T0019R4","78703","78705","78704",21,"STOPPED_AT","41.528614","2.1051986"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77540","77540","R4-77540-PLATF.(2)","5123L77540R4","51T0020R4","78806","78802","78804",16,"STOPPED_AT","41.42185","2.1869605"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77438","77438","R4-77438-PLATF.(2)","5123L77438R4","51T0019R4","72209",NULL,"72210",2,"INCOMING_AT","41.47872","1.9255537"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77434","77434","R4-77434-PLATF.(1)","5123L77434R4","51T0019R4","78805","71801","78804",11,"IN_TRANSIT_TO","41.38876","2.1721249"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77430","77430","R4-77430","5123L77430R4","51T0019R4","78607",NULL,NULL,NULL,"STOPPED_AT","41.587044","1.9165112"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77174","77174","R4-77174-PLATF.(2)","5123L77174R4","51T0020R4","78709","78710","78704",11,"STOPPED_AT","41.561966","2.0962272"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77172","77172","R4-77172","5123L77172R4","51T0020R4","71801","78805","72305",24,"STOPPED_AT","41.379536","2.1411612"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77170","77170","R4-77170-PLATF.(1)","5123L77170R4","51T0020R4","72206","72207","72205",35,"INCOMING_AT","41.39581","1.7681432"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R3-77365","77365","R3-77365-PLATF.(1)","5123L77365R3","51T0040R3","77103","77102","77104",3,"STOPPED_AT","41.721344","2.2715614"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R3-77304","77304","R3-77304","5123L77304R3","51T0034R3","77113","77114","77112",12,"IN_TRANSIT_TO","42.088936","2.2271824"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-28578","28578","R2-28578","5123L28578R2","51T0014R2","79100",NULL,"79007",2,"INCOMING_AT","41.59969","2.2916093"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-28442","28442","R2-28442-PLATF.(2)","5123L28442R2N","51T0004R2N","79100","79109","79007",7,"INCOMING_AT","41.59969","2.2916093"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-28432","28432","R2-28432-PLATF.(2)","5123L28432R2N","51T0004R2N","79006","79007","79011",9,"STOPPED_AT","41.53347","2.2177827"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-28364","28364","R2-28364","5123L28364R2S","51T0007R2S","71700",NULL,"71701",2,"INCOMING_AT","41.27745","1.9777229"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25536","25536","R2-25536-PLATF.(2)","5123L25536R2S","51T0007R2S","71601","71600","71602",3,"INCOMING_AT","41.27745","1.9777229"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25532","25532","R2-25532-PLATF.(14)","5123L25532R2S","51T0007R2S","71801","71709","71802",12,"STOPPED_AT","41.37951","2.1412168"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25438","25438","R2-25438","5123L25438R2N","51T0003R2N","79101","79109","79102",15,"INCOMING_AT","41.600082","2.2916722"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25436","25436","R2-25436-PLATF.(1)","5123L25436R2N","51T0003R2N","79100","79007","79109",13,"INCOMING_AT","41.59969","2.2916093"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25432","25432","R2-25432-PLATF.(1)","5123L25432R2N","51T0003R2N","79004","79009","79005",8,"INCOMING_AT","41.436115","2.1933901"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R2-25426","25426","R2-25426-PLATF.(3)","5123L25426R2N","51T0003R2N","79100","79007","79109",13,"STOPPED_AT","41.59969","2.2916093"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25753","25753","R1-25753","5123L25753R1","51T0001R1","72305",NULL,"71801",2,"INCOMING_AT","41.36431","2.1008937"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25752","25752","R1-25752-PLATF.(03)","5123L25752R1","51T0002R1","79500",NULL,"79412",2,"INCOMING_AT","41.53325","2.4456325"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25751","25751","R1-25751","5123L25751R1","51T0001R1","71801","72305","78805",3,"STOPPED_AT","41.379536","2.1411612"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25750","25750","R1-25750-PLATF.(2)","5123L25750R1","51T0002R1","79500",NULL,"79412",2,"INCOMING_AT","41.53325","2.4456325"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25749","25749","R1-25749-PLATF.(1)","5123L25749R1","51T0001R1","79407","79406","79408",11,"INCOMING_AT","41.47691","2.310406"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25748","25748","R1-25748-PLATF.(2)","5123L25748R1","51T0002R1","79407","79408","79406",7,"STOPPED_AT","41.47691","2.310406"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25746","25746","R1-25746-PLATF.(2)","5123L25746R1","51T0002R1","79403","79404","79009",11,"INCOMING_AT","41.42436","2.2305613"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25744","25744","R1-25744","5123L25744R1","51T0002R1","79009","79403","78804",12,"IN_TRANSIT_TO","41.40446","2.1869738"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R1-25742","25742","R1-25742-PLATF.(2)","5123L25742R1","51T0002R1","78804","79009","78805",13,"INCOMING_AT","41.391903","2.1806395"
