"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0301","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0302","Francesc Macià","","","ST05","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0303","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0304","Francesc Macià","","","ST05","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0305","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0306","Francesc Macià","","","ST05","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0307","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0308","Francesc Macià","","","ST05","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0309","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0310","Francesc Macià","","","ST05","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0311","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0312","Francesc Macià","","","ST05","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0229","Llevant-L.Planes","","","ST05","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0230","Francesc Macià","","","ST05","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0231","Llevant-L.Planes","","","ST05","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0026","Francesc Macià","","","ST05","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0027","Llevant-L.Planes","","","ST05","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0028","Francesc Macià","","","ST05","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0029","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0030","Francesc Macià","","","ST05","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0031","Llevant-L.Planes","","","ST05","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0032","Francesc Macià","","","ST05","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0033","Sant Feliu|C.C.","","","ST05","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0034","Francesc Macià","","","ST05","997-12","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0035","Bon Viatge","","","ST05","997-8","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0218","Francesc Macià","","","ST06","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0219","Llevant-L.Planes","","","ST06","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0220","Francesc Macià","","","ST06","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0347","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0349","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0350","Francesc Macià","","","ST06","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0351","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0352","Francesc Macià","","","ST06","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0353","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0354","Francesc Macià","","","ST06","997-12","",""
"997-2","997-merged_9a48a577e152c3639c27","997-2516_0204","Llevant-L.Planes","","","ST06","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0205","Francesc Macià","","","ST06","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0344","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0345","Francesc Macià","","","ST06","997-12","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0346","Sant Feliu|C.C.","","","ST06","997-4","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0037","Francesc Macià","","","ST06","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0038","Llevant-L.Planes","","","ST06","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0039","Francesc Macià","","","ST06","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0040","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0041","Francesc Macià","","","ST06","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0042","Llevant-L.Planes","","","ST06","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0043","Francesc Macià","","","ST06","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0044","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0045","Francesc Macià","","","ST06","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0046","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0047","Francesc Macià","","","ST06","997-5","",""
"997-3","997-2516","997-2516_0048","Sant Feliu|C.C.","","","ST06","997-11","",""
"997-3","997-2516","997-2516_0049","Francesc Macià","","","ST06","997-5","",""
"997-2","997-merged_fb0cc036c2e71bae404f","997-2516_0050","Llevant-L.Planes","","","ST06","997-1","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0180","Francesc Macià","","","ST07","997-9","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0257","Llevant-L.Planes","","","ST07","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0258","Francesc Macià","","","ST07","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0259","Llevant-L.Planes","","","ST07","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0260","Francesc Macià","","","ST07","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0261","Llevant-L.Planes","","","ST07","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0262","Francesc Macià","","","ST07","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0328","Sant Feliu|C.C.","","","ST07","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0329","Francesc Macià","","","ST07","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0265","Llevant-L.Planes","","","ST07","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0266","Francesc Macià","","","ST07","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0315","Sant Feliu|C.C.","","","ST07","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0316","Francesc Macià","","","ST07","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0052","Sant Feliu|C.C.","","","ST07","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0053","Francesc Macià","","","ST07","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0054","Sant Feliu|C.C.","","","ST07","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0055","Francesc Macià","","","ST07","997-12","",""
