"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"997-1118","T_IIGL","Ignasi Iglésias","T_IIGL","41.361236","2.072691","","","0","997-ST-190","","0","","T"
"997-1019","A_CNLL","Cornellà Centre","A_CNLL","41.357681","2.070199","","","0","997-ST-191","","0","","A"
"997-1119","T_CNLL","Cornellà Centre","T_CNLL","41.357662","2.070231","","","0","997-ST-191","","0","","T"
"997-1020","A_AIGU","Les Aigües","A_AIGU","41.356667","2.066099","","","0","997-ST-192","","0","","A"
"997-1120","T_AIGU","Les Aigües","T_AIGU","41.356653","2.066065","","","0","997-ST-192","","0","","T"
"997-1021","A_FTJO","Fontsanta|Fatjó","A_FTJO","41.360337","2.062241","","","0","997-ST-193","","0","","A"
"997-1121","T_FTJO","Fontsanta|Fatjó","T_FTJO","41.36032","2.062205","","","0","997-ST-193","","0","","T"
"997-1022","A_BVIA","Bon Viatge","A_BVIA","41.364698","2.05891","","","0","997-ST-194","","0","","A"
"997-1122","T_BVIA","Bon Viatge","T_BVIA","41.364563","2.058745","","","0","997-ST-194","","0","","T"
"997-1025","A_FSTA","La Fontsanta","A_FSTA","41.367767","2.062966","","","0","997-ST-195","","0","","A"
"997-1125","T_FSTA","La Fontsanta","T_FSTA","41.367823","2.06291","","","0","997-ST-195","","0","","T"
"997-1026","A_CTMP","Centre Miquel Martí i Pol","A_CTMP","41.368623","2.071202","","","0","997-ST-196","","0","","A"
"997-1126","T_CTMP","Centre Miquel Martí i Pol","T_CTMP","41.368687","2.071161","","","0","997-ST-196","","0","","T"
"997-1127","T_LLEV","Llevant-L.Planes","T_LLEV","41.371019","2.076184","","","0","997-ST-230","","0","","A/T"
